# Window-based topology counter
# PYTHON VERSION: 3.11.3
# Script call:    topo_counter.py -w 10 --overwrite
# Runtime:        07/21/2023 11:53:28
# ----------------
# Window size:          10000.0
# Window file:          get-windows-default.tsv
# Output file:          10kb-topo-counts.csv
# 07.21.2023 | 11:53:28 Reading windows...
# Windows read:         9499
# Chromosome:           17
# Chromosome length:    94987271
# Locus tree directory: /n/holylfs05/LABS/informatics/Users/gthomas/mus-t-haplotype/cactus-all-mask/windows/tree/chr17/10kb/loci
# Concat tree file:     /n/holylfs05/LABS/informatics/Users/gthomas/mus-t-haplotype/cactus-all-mask/windows/tree/chr17/10kb/concat/chr17-concat.treefile.rooted
# ASTRAL tree file:     /n/holylfs05/LABS/informatics/Users/gthomas/mus-t-haplotype/cactus-all-mask/windows/tree/chr17/10kb/astral/chr17-astral.treefile.rooted
# Concordance file:     /n/holylfs05/LABS/informatics/Users/gthomas/mus-t-haplotype/cactus-all-mask/windows/tree/chr17/10kb/astral/chr17-astral.cf.stat
# ----------------
# 07.21.2023 | 11:53:28 Reading concatenated chromosome tree...
# Concat chromosome tree:      "(pahari:0.0385292,(caroli:0.0225936446,((mus-t:0.0039517390,mm10:0.0029577377)100:0.0092301129,(spicilegus:0.0080599953,spretus:0.0103267320)100:0.0031609813)100:0.0145825902):0.0385292);"
# Concat chromosome topology:  "(pahari,(caroli,((mus-t,mm10)<1>,(spicilegus,spretus)<2>)<3>)<4>)<5>"
# 07.21.2023 | 11:53:28 Reading ASTRAL chromosome tree...
# ASTRAL chromosome tree:      "(pahari,(((spicilegus,spretus)1:0.5518440466295461,(mus-t,mm10)1:1.830664238855103)1:0.6924021905828531,caroli):0);"
# ASTRAL chromosome topology:  "(pahari,(((spicilegus,spretus)<1>,(mus-t,mm10)<2>)<3>,caroli)<4>)<5>"
# ASTRAL-concat match:   TRUE
# 07.21.2023 | 11:53:28 Calculating average CFs...
# Average gCF:          67.07000000000001
# Average sCF:          74.48333333333333
# 07.21.2023 | 11:53:28 Reading windows and counting topologies...
# Total trees read:   6708
# No tree file:       0
# Filtered windows:   2791
# Unique topologies:  86
# ----------------
# 07.21.2023 | 11:54:18 Counting and ranking topologies for this chromosome...
# ----------------
# 07.21.2023 | 11:54:18 Counting and ranking overall topologies...
# ----------------
# 07.21.2023 | 11:54:18 Writing output: 10kb-topo-counts.csv
window,chr,chr.len,start,end,filter,gcf,scf,topo.num.overall,topo.count.overall,topo.rank.overall,topo.color,topo.num.chrome,topo.count.chrome,topo.rank.chrome,topo,concat.chrome.topo.match,astral.chrome.topo.match,unparsed.tree
chr17:81230000-81240000,"chr17","94987271","81230000","81240000","PASS","67.07000000000001","74.48333333333333","1","70","17","#999999","1","70","17","(pahari,(((caroli,spicilegus)<1>,(mus-t,mm10)<2>)<3>,spretus)<4>)<5>;","FALSE","FALSE","(pahari:0.218704,(((caroli:0.0096009949,spicilegus:0.0250421197)53:0.0221543349,(mus-t:0.0000010000,mm10:0.0000010000)70:0.0101352587)14:0.0094470415,spretus:0.0014021515):0.218704);"
chr17:5270000-5280000,"chr17","94987271","5270000","5280000","PASS","67.07000000000001","74.48333333333333","2","2526","1","#db6d00","2","2526","1","(pahari,(caroli,((mus-t,mm10)<1>,(spicilegus,spretus)<2>)<3>)<4>)<5>;","TRUE","TRUE","(pahari:0.031747,(caroli:0.0225311397,((mus-t:0.0018638107,mm10:0.0017713021)100:0.0102786710,(spicilegus:0.0046828565,spretus:0.0090000587)100:0.0030487366)100:0.0149312219):0.031747);"
chr17:53210000-53220000,"chr17","94987271","53210000","53220000","FILTER","67.07000000000001","74.48333333333333","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
chr17:53890000-53900000,"chr17","94987271","53890000","53900000","PASS","67.07000000000001","74.48333333333333","3","914","2","#004949","3","914","2","(pahari,(caroli,(((mus-t,mm10)<1>,spicilegus)<2>,spretus)<3>)<4>)<5>;","FALSE","FALSE","(pahari:0.201294,(caroli:0.4491346516,(((mus-t:0.0000010000,mm10:0.0000010000)100:0.0224811272,spicilegus:0.0170624974)68:0.0537276175,spretus:0.0000023335)24:0.0000023425):0.201294);"
chr17:36830000-36840000,"chr17","94987271","36830000","36840000","FILTER","67.07000000000001","74.48333333333333","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
chr17:58640000-58650000,"chr17","94987271","58640000","58650000","PASS","67.07000000000001","74.48333333333333","4","81","16","#999999","4","81","16","(pahari,((caroli,((mus-t,mm10)<1>,spretus)<2>)<3>,spicilegus)<4>)<5>;","FALSE","FALSE","(pahari:0.19823,((caroli:0.0390050036,((mus-t:0.0000010000,mm10:0.0000010000)88:0.0459951784,spretus:0.0149447900)28:0.0011416102)16:0.0101027040,spicilegus:0.0000205801):0.19823);"
chr17:60100000-60110000,"chr17","94987271","60100000","60110000","PASS","67.07000000000001","74.48333333333333","5","231","7","#999999","5","231","7","(pahari,((caroli,(mus-t,mm10)<1>)<2>,(spicilegus,spretus)<3>)<4>)<5>;","FALSE","FALSE","(pahari:5e-07,((caroli:0.0289311774,(mus-t:0.0000010000,mm10:0.0000010000)94:0.0125465097)61:0.0030533157,(spicilegus:0.0079581080,spretus:0.0106136277)60:0.0000017939):5e-07);"
chr17:28700000-28710000,"chr17","94987271","28700000","28710000","PASS","67.07000000000001","74.48333333333333","3","914","2","#004949","3","914","2","(pahari,(caroli,(((mus-t,mm10)<1>,spicilegus)<2>,spretus)<3>)<4>)<5>;","FALSE","FALSE","(pahari:0.0260398,(caroli:0.0141880913,(((mus-t:0.0019404032,mm10:0.0021367445)100:0.0046985489,spicilegus:0.0055240739)53:0.0006712237,spretus:0.0035304305)100:0.0136216346):0.0260398);"
chr17:90810000-90820000,"chr17","94987271","90810000","90820000","PASS","67.07000000000001","74.48333333333333","6","310","5","#999999","6","310","5","(pahari,(((caroli,(mus-t,mm10)<1>)<2>,spicilegus)<3>,spretus)<4>)<5>;","FALSE","FALSE","(pahari:0.216693,(((caroli:0.0325192642,(mus-t:0.0027126287,mm10:0.0030012251)99:0.0080651808)82:0.0013418307,spicilegus:0.0074219127)60:0.0117588849,spretus:0.0000026553):0.216693);"
chr17:13930000-13940000,"chr17","94987271","13930000","13940000","PASS","67.07000000000001","74.48333333333333","7","47","21","#999999","7","47","21","(pahari,((caroli,spicilegus)<1>,((mus-t,mm10)<2>,spretus)<3>)<4>)<5>;","FALSE","FALSE","(pahari:0.0485359,((caroli:0.0000010023,spicilegus:0.0000020821)51:0.0024299641,((mus-t:0.0023828320,mm10:0.0147483414)84:0.0070412782,spretus:0.0049714001)41:0.0016785659):0.0485359);"
