# Window-based topology counter
# PYTHON VERSION: 3.11.3
# Script call:    18_topo_counter.py -i ../data/mm10-10kb-window-stats.tsv -t ../04-iqtree/ -w 10 -o ../data/mm10-10kb-topo-counts.csv
# Runtime:        07/27/2023 18:25:55
# ----------------
# Window size:          10000.0
# Window file:          ../data/mm10-10kb-window-stats.tsv
# Tree dir:             ../04-iqtree/
# Output file:          ../data/mm10-10kb-topo-counts.csv
# 07.27.2023 | 18:25:55 Reading windows...
# Windows read:         9499
# Chromosome:           17
# Chromosome length:    94987271
# Locus tree directory: ../04-iqtree/chr17/10kb/loci
# Concat tree file:     ../04-iqtree/chr17/10kb/concat/chr17-concat.treefile.rooted
# ASTRAL tree file:     ../04-iqtree/chr17/10kb/astral/chr17-astral.treefile.rooted
# Concordance file:     ../04-iqtree/chr17/10kb/astral/chr17-astral.cf.stat
# ----------------
# 07.27.2023 | 18:25:55 Reading concatenated chromosome tree...
# Concat chromosome tree:      "(pahari:0.0385283,(caroli:0.0225932267,((mus-t:0.0039517303,mm10:0.0029577244)100:0.0092301288,(spicilegus:0.0080599363,spretus:0.0103265889)100:0.0031609812)100:0.0145824337):0.0385283);"
# Concat chromosome topology:  "(pahari,(caroli,((mus-t,mm10)<1>,(spicilegus,spretus)<2>)<3>)<4>)<5>"
# 07.27.2023 | 18:25:55 Reading ASTRAL chromosome tree...
# ASTRAL chromosome tree:      "(pahari,(((spicilegus,spretus)1:0.5521352663568871,(mus-t,mm10)1:1.825794664015147)1:0.694750790890728,caroli):0);"
# ASTRAL chromosome topology:  "(pahari,(((spicilegus,spretus)<1>,(mus-t,mm10)<2>)<3>,caroli)<4>)<5>"
# ASTRAL-concat match:   TRUE
# 07.27.2023 | 18:25:55 Calculating average CFs...
# Average gCF:          67.1
# Average sCF:          74.79
# 07.27.2023 | 18:25:55 Reading windows and counting topologies...
# Total trees read:   6708
# No tree file:       0
# Filtered windows:   2791
# Unique topologies:  88
# ----------------
# 07.27.2023 | 18:30:46 Counting and ranking topologies for this chromosome...
# ----------------
# 07.27.2023 | 18:30:46 Counting and ranking overall topologies...
# ----------------
# 07.27.2023 | 18:30:46 Writing output: ../data/mm10-10kb-topo-counts.csv
window,chr,chr.len,start,end,filter,gcf,scf,topo.num.overall,topo.count.overall,topo.rank.overall,topo.color,topo.num.chrome,topo.count.chrome,topo.rank.chrome,topo,concat.chrome.topo.match,astral.chrome.topo.match,unparsed.tree
chr17:81280000-81290000,"chr17","94987271","81280000","81290000","FILTER","67.1","74.79","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
chr17:20960000-20970000,"chr17","94987271","20960000","20970000","PASS","67.1","74.79","1","2527","1","#db6d00","1","2527","1","(pahari,(caroli,((mus-t,mm10)<1>,(spicilegus,spretus)<2>)<3>)<4>)<5>;","TRUE","TRUE","(pahari:0.0225625,(caroli:0.0173776621,((mus-t:0.0007793326,mm10:0.0008204531)100:0.0077005698,(spicilegus:0.0061377630,spretus:0.0045382465)100:0.0063416705)100:0.0085426514):0.0225625);"
chr17:92960000-92970000,"chr17","94987271","92960000","92970000","FILTER","67.1","74.79","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
chr17:24080000-24090000,"chr17","94987271","24080000","24090000","PASS","67.1","74.79","1","2527","1","#db6d00","1","2527","1","(pahari,(caroli,((mus-t,mm10)<1>,(spicilegus,spretus)<2>)<3>)<4>)<5>;","TRUE","TRUE","(pahari:0.0300804,(caroli:0.0317642686,((mus-t:0.0025136168,mm10:0.0015227900)100:0.0074380039,(spicilegus:0.0030757857,spretus:0.0082694421)94:0.0013080769)100:0.0147359400):0.0300804);"
chr17:27290000-27300000,"chr17","94987271","27290000","27300000","PASS","67.1","74.79","2","454","3","#006ddb","2","454","3","(pahari,(caroli,(((mus-t,mm10)<1>,spretus)<2>,spicilegus)<3>)<4>)<5>;","FALSE","FALSE","(pahari:0.0340746,(caroli:0.0240943152,(((mus-t:0.0029984414,mm10:0.0027469329)100:0.0045153325,spretus:0.0066175408)73:0.0006978586,spicilegus:0.0051927056)100:0.0184275030):0.0340746);"
chr17:16020000-16030000,"chr17","94987271","16020000","16030000","PASS","67.1","74.79","1","2527","1","#db6d00","1","2527","1","(pahari,(caroli,((mus-t,mm10)<1>,(spicilegus,spretus)<2>)<3>)<4>)<5>;","TRUE","TRUE","(pahari:0.0247789,(caroli:0.0168347508,((mus-t:0.0049279103,mm10:0.0032477158)100:0.0059772396,(spicilegus:0.0060260769,spretus:0.0062868828)85:0.0014830042)100:0.0139511834):0.0247789);"
chr17:22780000-22790000,"chr17","94987271","22780000","22790000","PASS","67.1","74.79","1","2527","1","#db6d00","1","2527","1","(pahari,(caroli,((mus-t,mm10)<1>,(spicilegus,spretus)<2>)<3>)<4>)<5>;","TRUE","TRUE","(pahari:0.0428999,(caroli:0.0288009568,((mus-t:0.0161753708,mm10:0.0029162656)100:0.0381116494,(spicilegus:0.0080963151,spretus:0.0273352137)100:0.0771128355)100:0.0923657957):0.0428999);"
chr17:53020000-53030000,"chr17","94987271","53020000","53030000","PASS","67.1","74.79","3","225","7","#999999","3","225","7","(pahari,((caroli,(mus-t,mm10)<1>)<2>,(spicilegus,spretus)<3>)<4>)<5>;","FALSE","FALSE","(pahari:0.576801,((caroli:0.0433941635,(mus-t:0.0000010000,mm10:0.0000010000)96:0.0685208752)54:0.0200833185,(spicilegus:0.0065206989,spretus:0.0088494080)66:0.0000023359):0.576801);"
chr17:64460000-64470000,"chr17","94987271","64460000","64470000","FILTER","67.1","74.79","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
chr17:25400000-25410000,"chr17","94987271","25400000","25410000","PASS","67.1","74.79","1","2527","1","#db6d00","1","2527","1","(pahari,(caroli,((mus-t,mm10)<1>,(spicilegus,spretus)<2>)<3>)<4>)<5>;","TRUE","TRUE","(pahari:0.0359029,(caroli:0.0188342037,((mus-t:0.0036826775,mm10:0.0054808020)100:0.0029783629,(spicilegus:0.0052875060,spretus:0.0075542036)100:0.0028698539)100:0.0132521289):0.0359029);"
chr17:47870000-47880000,"chr17","94987271","47870000","47880000","FILTER","67.1","74.79","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
chr17:60890000-60900000,"chr17","94987271","60890000","60900000","FILTER","67.1","74.79","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
chr17:47780000-47790000,"chr17","94987271","47780000","47790000","FILTER","67.1","74.79","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
