# PYTHON VERSION: 3.11.3
# Script call:    16_get_window_stats.py -i ../analysis/02-mus-t-windows-new-tree/02-fasta/ -w 10 -o ../data/mm10-10kb-window-stats-new-tree-no-pahari.tsv -s ../data/mm10-10kb-spec-counts-new-tree-no-pahari.tsv -d ../analysis/02-mus-t-windows-new-tree/03-fasta-no-anc-filter-no-pahari --overwrite
# Runtime:        09/01/2023 11:06:30
# ----------------
# Window size (-w):	10kb
# Input directory:	/n/holylfs05/LABS/informatics/Users/gthomas/mus-t-haplotype/analysis/02-mus-t-windows-new-tree/02-fasta
# Missing threshold (seq):	0.5
# Missing threshold (site):	0.5
# Gap threshold (seq):	0.5
# Gap threshold (site):	0.5
# Gap threshold (window):	0.5
# Missing+gap threshold (seq):	0.5
# Missing+gap threshold (site):	0.5
# Output file:	/n/holylfs05/LABS/informatics/Users/gthomas/mus-t-haplotype/data/mm10-10kb-window-stats-new-tree-no-pahari.tsv
# Species file:	../data/mm10-10kb-spec-counts-new-tree-no-pahari.tsv
# Seq outdir:	../analysis/02-mus-t-windows-new-tree/03-fasta-no-anc-filter-no-pahari
# ----------------
window	scaffold	start	end	total.seqs	aln.len	uniq.seqs	ident.seqs	seqs.above.missing	seqs.all.missing	avg.seq.len.wo.missing	seqs.above.gappy	seqs.all.gappy	seqs.above.missing.gappy	seqs.all.missing.gappy	invariant.sites	informative.sites	sites.w.missing	perc.sites.w.missing	sites.high.missing	perc.sites.high.missing	sites.all.missing	sites.w.gap	perc.sites.w.gap	sites.high.gap	perc.sites.high.gap	sites.all.gap	sites.missing.gap	perc.sites.missing.gap	sites.high.missing.gap	perc.sites.high.missing.gap	sites.all.missing.gap	total.seqs.filter	aln.len.filter	uniq.seqs.filter	ident.seqs.filter	seqs.above.missing.filter	seqs.all.missing.filter	avg.seq.len.wo.missing.filter	seqs.above.gappy.filter	seqs.all.gappy.filter	seqs.above.missing.gappy.filter	seqs.all.missing.gappy.filter	invariant.sites.filter	informative.sites.filter	sites.w.missing.filter	perc.sites.w.missing.filter	sites.high.missing.filter	perc.sites.high.missing.filter	sites.all.missing.filter	sites.w.gap.filter	perc.sites.w.gap.filter	sites.high.gap.filter	perc.sites.high.gap.filter	sites.all.gap.filter	sites.missing.gap.filter	perc.sites.missing.gap.filter	sites.high.missing.gap.filter	perc.sites.high.missing.gap.filter	sites.all.missing.gap.filter	written
chr17:81280000-81290000	chr17	81280000	81290000	5	10000	5	0	0	0	2.8791	0	0	0	0	7519	130	4690	0.469	4396	0.4396	3598	721	0.0721	82	0.0082	0	4809	0.4809	4729	0.4729	4239	5	9899	5	0	0	0	2.8643297302757853	0	0	0	0	7515	130	4663	0.47105768259420144	4386	0.4430750580866754	3596	636	0.06424891403172038	1	0.00010102030508132135	0	4718	0.4766137993736741	4638	0.4685321749671684	4216	TRUE
chr17:20960000-20970000	chr17	20960000	20970000	5	10000	5	0	0	0	4.568	1	0	1	0	2941	89	1489	0.1489	383	0.0383	275	1132	0.1132	1025	0.1025	0	1695	0.1695	1582	0.1582	1294	5	8932	5	0	0	0	4.725033587102553	1	0	1	0	2930	89	565	0.06325570980743395	377	0.04220779220779221	272	106	0.01186744290192566	3	0.0003358710255261979	0	663	0.07422749664128975	552	0.06180026869682042	369	TRUE
chr17:92960000-92970000	chr17	92960000	92970000	5	10000	5	0	4	0	1.8857	1	0	5	0	1835	7	6753	0.6753	6640	0.664	1997	2796	0.2796	2735	0.2735	0	9400	0.94	9398	0.9398	8902	5	7212	5	0	4	0	1.0776483638380476	1	0	5	0	1825	6	6616	0.9173599556295063	6593	0.9141708264004437	1984	61	0.00845812534664448	0	0.0	0	6618	0.9176372712146422	6616	0.9173599556295063	6373	TRUE
chr17:24080000-24090000	chr17	24080000	24090000	5	10000	5	0	0	0	2.9662	0	0	0	0	5437	118	4504	0.4504	4298	0.4298	2790	255	0.0255	145	0.0145	0	4616	0.4616	4492	0.4492	3943	5	9846	5	0	0	0	2.9528742636603695	0	0	0	0	5437	118	4431	0.45003046922608164	4290	0.4357099329677026	2788	113	0.011476741824091	7	0.000710948608572009	0	4464	0.453382084095064	4344	0.441194393662401	3860	TRUE
chr17:27290000-27300000	chr17	27290000	27300000	5	10000	5	0	0	0	3.2862	0	0	0	0	6769	59	4074	0.4074	3553	0.3553	2259	1149	0.1149	523	0.0523	0	4134	0.4134	4090	0.409	3866	5	9461	5	0	0	0	3.300391079167107	0	0	0	0	6757	59	3559	0.376175879928126	3543	0.3744847267730684	2251	630	0.0665891554803932	4	0.00042278828876440123	0	3605	0.3810379452489166	3561	0.3763872740725082	3351	TRUE
chr17:16020000-16030000	chr17	16020000	16030000	5	10000	5	0	0	0	2.8466	0	0	0	0	6347	71	4707	0.4707	4612	0.4612	2792	78	0.0078	66	0.0066	0	4763	0.4763	4748	0.4748	4539	5	9923	5	0	0	0	2.8393630958379523	0	0	0	0	6347	69	4685	0.47213544291041015	4601	0.46367026100977526	2786	17	0.0017131915751284893	5	0.000503879875037791	0	4689	0.4725385468104404	4675	0.4711276831603346	4509	TRUE
chr17:22780000-22790000	chr17	22780000	22790000	5	10000	5	0	1	0	3.4381	2	0	5	0	301	111	4933	0.4933	4845	0.4845	232	7164	0.7164	176	0.0176	0	7642	0.7642	5188	0.5188	4862	5	9817	5	0	2	0	3.419782010797596	2	0	5	0	301	111	4929	0.5020882143220943	4843	0.4933279005806254	232	6983	0.7113171029846185	5	0.0005093205663644698	0	7459	0.7598044209025161	5011	0.5104410716104716	4770	TRUE
chr17:53020000-53030000	chr17	53020000	53030000	5	10000	5	0	2	0	2.9562	3	0	5	0	1306	35	8248	0.8248	1474	0.1474	1080	7381	0.7381	7255	0.7255	0	8794	0.8794	8758	0.8758	8174	5	2713	5	0	4	0	2.4647991153704387	0	0	5	0	1304	35	1484	0.5469959454478437	1458	0.5374124585329894	1078	116	0.0427570954662735	2	0.0007371913011426465	0	1515	0.5584224106155548	1483	0.5466273497972723	1420	TRUE
chr17:64460000-64470000	chr17	64460000	64470000	5	10000	5	0	4	0	2.3035	0	0	5	0	7976	72	5736	0.5736	5681	0.5681	4313	72	0.0072	59	0.0059	0	5775	0.5775	5749	0.5749	5400	5	9927	5	0	4	0	2.291830361639972	0	0	5	0	7968	72	5696	0.573788657197542	5680	0.5721768913065377	4313	17	0.0017125012591921024	6	0.0006044122091266244	0	5713	0.5755011584567341	5690	0.5731842449884155	5369	TRUE
chr17:25400000-25410000	chr17	25400000	25410000	5	10000	5	0	0	0	4.7912	0	0	0	0	8823	70	430	0.043	358	0.0358	325	52	0.0052	40	0.004	0	472	0.0472	405	0.0405	366	5	9954	5	0	0	0	4.793349407273458	0	0	0	0	8818	70	428	0.04299778983323287	356	0.03576451677717501	325	16	0.0016073940124573037	6	0.0006027727546714888	0	436	0.04380148683946152	369	0.037070524412296565	339	TRUE
chr17:47870000-47880000	chr17	47870000	47880000	5	10000	5	0	0	0	4.5496	0	0	0	0	8403	68	952	0.0952	874	0.0874	604	190	0.019	138	0.0138	0	1098	0.1098	1026	0.1026	834	5	9840	5	0	0	0	4.559451219512195	0	0	0	0	8397	68	921	0.09359756097560976	866	0.08800813008130082	602	52	0.005284552845528455	2	0.0002032520325203252	0	954	0.09695121951219512	882	0.08963414634146341	724	TRUE
chr17:60890000-60900000	chr17	60890000	60900000	5	10000	5	0	0	0	3.1759	0	0	1	0	6004	157	4043	0.4043	3868	0.3868	2593	382	0.0382	183	0.0183	0	4200	0.42	4093	0.4093	3756	5	9796	5	0	0	0	3.152000816659861	0	0	1	0	5998	157	3988	0.4071049407921601	3854	0.39342588811759904	2589	198	0.020212331563903636	3	0.00030624744793793387	0	4004	0.4087382605144957	3897	0.39781543487137605	3705	TRUE
chr17:47780000-47790000	chr17	47780000	47790000	5	10000	5	0	0	0	3.9055	1	0	1	0	3864	76	2606	0.2606	2339	0.2339	944	2757	0.2757	2297	0.2297	0	5110	0.511	4647	0.4647	2305	5	7658	5	0	0	0	3.6452076260120134	0	0	1	0	3854	72	2377	0.3103943588404283	2329	0.30412640376077305	942	456	0.05954557325672499	2	0.00026116479498563595	0	2801	0.3657612953773831	2342	0.3058239749281797	1986	TRUE
chr17:93040000-93050000	chr17	93040000	93050000	5	10000	5	0	0	0	3.2134	0	0	1	0	5437	83	3921	0.3921	3875	0.3875	1889	631	0.0631	408	0.0408	0	4541	0.4541	4511	0.4511	3939	5	9562	5	0	0	0	3.1656557205605522	0	0	1	0	5425	83	3915	0.4094331729763648	3871	0.40483162518301613	1887	224	0.02342606149341142	6	0.0006274837900020916	0	4128	0.431708847521439	4098	0.42857142857142855	3640	TRUE
chr17:29530000-29540000	chr17	29530000	29540000	5	10000	5	0	4	0	1.6839	1	0	5	0	2068	31	8525	0.8525	7013	0.7013	2548	2514	0.2514	1455	0.1455	0	9114	0.9114	8565	0.8565	7591	5	8505	5	0	4	0	1.4477366255144033	0	0	5	0	2060	31	7105	0.8353909465020576	6974	0.8199882422104644	2541	1069	0.12569077013521457	12	0.0014109347442680777	0	7626	0.8966490299823633	7077	0.8320987654320988	6166	TRUE
chr17:34550000-34560000	chr17	34550000	34560000	5	10000	5	0	3	0	2.9537	1	0	5	0	32	53	5822	0.5822	5370	0.537	120	4343	0.4343	1508	0.1508	0	7545	0.7545	7249	0.7249	5376	5	8442	5	0	3	0	2.621179815209666	1	0	5	0	32	51	5674	0.6721156124141199	5354	0.6342099028666193	120	2815	0.33345178867566927	2	0.00023691068467187872	0	6005	0.7113243307273158	5709	0.6762615493958778	5201	TRUE
chr17:18620000-18630000	chr17	18620000	18630000	5	10000	5	0	2	0	3.3128	2	0	5	0	132	610	5456	0.5456	2756	0.2756	68	5700	0.57	4125	0.4125	0	7915	0.7915	7467	0.7467	5433	5	5813	5	0	1	0	3.0641665233098228	1	0	4	0	132	608	2824	0.48580767245828316	2718	0.46757268191983486	68	1547	0.2661276449337691	9	0.0015482539136418372	0	3738	0.6430414587992431	3300	0.5676931016686737	2659	TRUE
chr17:28820000-28830000	chr17	28820000	28830000	5	10000	5	0	0	0	3.9845	0	0	0	0	7354	60	2125	0.2125	1992	0.1992	1328	1038	0.1038	909	0.0909	0	3003	0.3003	2938	0.2938	2427	5	9072	5	0	0	0	3.9751984126984126	0	0	0	0	7343	60	2084	0.22971781305114639	1984	0.21869488536155202	1324	128	0.014109347442680775	5	0.0005511463844797178	0	2087	0.2300485008818342	2024	0.22310405643738976	1630	TRUE
chr17:3380000-3390000	chr17	3380000	3390000	5	10000	5	0	0	0	3.052	0	0	2	0	1867	67	4419	0.4419	4174	0.4174	1548	474	0.0474	246	0.0246	0	4763	0.4763	4547	0.4547	4237	5	9716	5	0	0	0	3.0371552079044872	0	0	2	0	1857	65	4306	0.44318649650061753	4150	0.42713050638122685	1542	228	0.023466447097571015	2	0.0002058460271716756	0	4487	0.4618155619596542	4272	0.43968711403869903	4003	TRUE
chr17:64070000-64080000	chr17	64070000	64080000	5	10000	5	0	0	0	2.9796	0	0	2	0	2913	128	4864	0.4864	4778	0.4778	973	239	0.0239	85	0.0085	0	5017	0.5017	4979	0.4979	4650	5	9901	5	0	0	0	2.9656600343399657	0	0	2	0	2913	128	4838	0.4886375113624886	4772	0.481971518028482	973	160	0.01615998384001616	6	0.000605999394000606	0	4928	0.49772750227249773	4890	0.49388950611049387	4630	TRUE
