# Window-based topology counter
# PYTHON VERSION: 3.11.3
# Script call:    18_topo_counter.py -i ../data/mm10-10kb-window-stats-no-pahari.tsv -t ../analysis/02-mus-t-windows/04-iqtree-no-pahari/ -w 10 -o ../data/mm10-10kb-topo-counts-no-pahari.csv --overwrite
# Runtime:        07/28/2023 13:06:10
# ----------------
# Window size:          10000.0
# Window file:          ../data/mm10-10kb-window-stats-no-pahari.tsv
# Tree dir:             ../analysis/02-mus-t-windows/04-iqtree-no-pahari/
# Output file:          ../data/mm10-10kb-topo-counts-no-pahari.csv
# 07.28.2023 | 13:06:10 Reading windows...
# Windows read:         9499
# Chromosome:           17
# Chromosome length:    94987271
# Locus tree directory: ../analysis/02-mus-t-windows/04-iqtree-no-pahari/chr17/10kb/loci
# Concat tree file:     ../analysis/02-mus-t-windows/04-iqtree-no-pahari/chr17/10kb/concat/chr17-concat.treefile.rooted
# ASTRAL tree file:     ../analysis/02-mus-t-windows/04-iqtree-no-pahari/chr17/10kb/astral/chr17-astral.treefile.rooted
# Concordance file:     ../analysis/02-mus-t-windows/04-iqtree-no-pahari/chr17/10kb/astral/chr17-astral.cf.stat
# ----------------
# 07.28.2023 | 13:06:10 Reading concatenated chromosome tree...
# Concat chromosome tree:      "(caroli:0.0187851,((mus-t:0.0035180307,mm10:0.0026459056)100:0.0094298083,(spicilegus:0.0080808213,spretus:0.0103698003)100:0.0030054220):0.0187851);"
# Concat chromosome topology:  "(caroli,((mus-t,mm10)<1>,(spicilegus,spretus)<2>)<3>)<4>"
# 07.28.2023 | 13:06:10 Reading ASTRAL chromosome tree...
# ASTRAL chromosome tree:      "(caroli,((spicilegus,spretus)1:0.6162433623931324,(mm10,mus-t)1:2.329612197675465):0);"
# ASTRAL chromosome topology:  "(caroli,((spicilegus,spretus)<1>,(mm10,mus-t)<2>)<3>)<4>"
# ASTRAL-concat match:   TRUE
# 07.28.2023 | 13:06:10 Calculating average CFs...
# Average gCF:          77.67999999999999
# Average sCF:          72.88
# 07.28.2023 | 13:06:10 Reading windows and counting topologies...
# Total trees read:   8737
# No tree file:       0
# Filtered windows:   762
# Unique topologies:  15
# ----------------
# 07.28.2023 | 13:10:42 Counting and ranking topologies for this chromosome...
# ----------------
# 07.28.2023 | 13:10:42 Counting and ranking overall topologies...
# ----------------
# 07.28.2023 | 13:10:42 Writing output: ../data/mm10-10kb-topo-counts-no-pahari.csv
window,chr,chr.len,start,end,filter,gcf,scf,topo.num.overall,topo.count.overall,topo.rank.overall,topo.color,topo.num.chrome,topo.count.chrome,topo.rank.chrome,topo,concat.chrome.topo.match,astral.chrome.topo.match,unparsed.tree
chr17:81280000-81290000,"chr17","94987271","81280000","81290000","PASS","77.67999999999999","72.88","1","1054","3","#006ddb","1","1054","3","(caroli,(((mus-t,mm10)<1>,spretus)<2>,spicilegus)<3>)<4>;","FALSE","FALSE","(caroli:0.0136695,(((mus-t:0.0000010002,mm10:0.0000010002)100:0.0073973603,spretus:0.0127245471)96:0.0033011767,spicilegus:0.0077561355):0.0136695);"
chr17:20960000-20970000,"chr17","94987271","20960000","20970000","PASS","77.67999999999999","72.88","2","5287","1","#db6d00","2","5287","1","(caroli,((mus-t,mm10)<1>,(spicilegus,spretus)<2>)<3>)<4>;","TRUE","TRUE","(caroli:0.0126983,((mus-t:0.0007819994,mm10:0.0008218249)100:0.0079243718,(spicilegus:0.0063471435,spretus:0.0046081010)100:0.0057386962):0.0126983);"
chr17:92960000-92970000,"chr17","94987271","92960000","92970000","FILTER","77.67999999999999","72.88","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
chr17:24080000-24090000,"chr17","94987271","24080000","24090000","PASS","77.67999999999999","72.88","2","5287","1","#db6d00","2","5287","1","(caroli,((mus-t,mm10)<1>,(spicilegus,spretus)<2>)<3>)<4>;","TRUE","TRUE","(caroli:0.021783,((mus-t:0.0024964140,mm10:0.0014743147)100:0.0072015080,(spicilegus:0.0029818851,spretus:0.0081034261)92:0.0012924741):0.021783);"
chr17:27290000-27300000,"chr17","94987271","27290000","27300000","PASS","77.67999999999999","72.88","1","1054","3","#006ddb","1","1054","3","(caroli,(((mus-t,mm10)<1>,spretus)<2>,spicilegus)<3>)<4>;","FALSE","FALSE","(caroli:0.0215371,(((mus-t:0.0030493450,mm10:0.0027067207)100:0.0045368941,spretus:0.0065737019)62:0.0004799007,spicilegus:0.0054684599):0.0215371);"
chr17:16020000-16030000,"chr17","94987271","16020000","16030000","PASS","77.67999999999999","72.88","2","5287","1","#db6d00","2","5287","1","(caroli,((mus-t,mm10)<1>,(spicilegus,spretus)<2>)<3>)<4>;","TRUE","TRUE","(caroli:0.0156658,((mus-t:0.0049229977,mm10:0.0032376977)100:0.0057640796,(spicilegus:0.0060047081,spretus:0.0063088770)88:0.0016029439):0.0156658);"
chr17:22780000-22790000,"chr17","94987271","22780000","22790000","PASS","77.67999999999999","72.88","2","5287","1","#db6d00","2","5287","1","(caroli,((mus-t,mm10)<1>,(spicilegus,spretus)<2>)<3>)<4>;","TRUE","TRUE","(caroli:0.0560014,((mus-t:0.0154151451,mm10:0.0035195671)100:0.0335743776,(spicilegus:0.0091335599,spretus:0.0262341436)100:0.0767506660):0.0560014);"
chr17:53020000-53030000,"chr17","94987271","53020000","53030000","PASS","77.67999999999999","72.88","2","5287","1","#db6d00","2","5287","1","(caroli,((mus-t,mm10)<1>,(spicilegus,spretus)<2>)<3>)<4>;","TRUE","TRUE","(caroli:0.0216314,((mus-t:0.0000010009,mm10:0.0000010009)100:0.0683106545,(spicilegus:0.0065028398,spretus:0.0088182208)99:0.0200331818):0.0216314);"
chr17:64460000-64470000,"chr17","94987271","64460000","64470000","PASS","77.67999999999999","72.88","2","5287","1","#db6d00","2","5287","1","(caroli,((mus-t,mm10)<1>,(spicilegus,spretus)<2>)<3>)<4>;","TRUE","TRUE","(caroli:0.0170092,((mus-t:0.0000010005,mm10:0.0000010005)100:0.0199561584,(spicilegus:0.0081824675,spretus:0.0122547023)97:0.0047337011):0.0170092);"
chr17:25400000-25410000,"chr17","94987271","25400000","25410000","PASS","77.67999999999999","72.88","2","5287","1","#db6d00","2","5287","1","(caroli,((mus-t,mm10)<1>,(spicilegus,spretus)<2>)<3>)<4>;","TRUE","TRUE","(caroli:0.0170787,((mus-t:0.0037438940,mm10:0.0055645841)100:0.0029384230,(spicilegus:0.0053507880,spretus:0.0077890932)100:0.0029178764):0.0170787);"
