# Window-based topology counter
# PYTHON VERSION: 3.11.3
# Script call:    18_topo_counter.py -i ../data/mm10-10kb-window-stats-new-tree-no-pahari.tsv -t ../analysis/02-mus-t-windows-new-tree/04-iqtree-no-pahari/ -w 10 -o ../data/mm10-10kb-topo-counts-new-tree-no-pahari.csv
# Runtime:        09/01/2023 14:50:03
# ----------------
# Window size:          10000.0
# Window file:          ../data/mm10-10kb-window-stats-new-tree-no-pahari.tsv
# Tree dir:             ../analysis/02-mus-t-windows-new-tree/04-iqtree-no-pahari/
# Output file:          ../data/mm10-10kb-topo-counts-new-tree-no-pahari.csv
# 09.01.2023 | 14:50:03 Reading windows...
# Windows read:         9499
# Chromosome:           17
# Chromosome length:    94987271
# Locus tree directory: ../analysis/02-mus-t-windows-new-tree/04-iqtree-no-pahari/chr17/10kb/loci
# Concat tree file:     ../analysis/02-mus-t-windows-new-tree/04-iqtree-no-pahari/chr17/10kb/concat/chr17-concat.treefile.rooted
# ASTRAL tree file:     ../analysis/02-mus-t-windows-new-tree/04-iqtree-no-pahari/chr17/10kb/astral/chr17-astral.treefile.rooted
# Concordance file:     ../analysis/02-mus-t-windows-new-tree/04-iqtree-no-pahari/chr17/10kb/astral/chr17-astral.cf.stat
# ----------------
# 09.01.2023 | 14:50:03 Reading concatenated chromosome tree...
# Concat chromosome tree:      "(caroli:0.0191738,((mm10:0.0025427157,mus-t:0.0028766642)100:0.0083145281,(spretus:0.0111326541,spicilegus:0.0081924926):0.0019724408)100:0.0191738);"
# Concat chromosome topology:  "(caroli,((mm10,mus-t)<1>,(spretus,spicilegus)<2>)<3>)<4>"
# 09.01.2023 | 14:50:03 Reading ASTRAL chromosome tree...
# ASTRAL chromosome tree:      "(caroli,((mm10,mus-t)1:2.385882435681433,(spicilegus,spretus:0):0.4002767893502979)1);"
# ASTRAL chromosome topology:  "(caroli,((mm10,mus-t)<1>,(spicilegus,spretus)<2>)<3>)<4>"
# ASTRAL-concat match:   TRUE
# 09.01.2023 | 14:50:03 Calculating average CFs...
# Average gCF:          73.27000000000001
# Average sCF:          68.485
# 09.01.2023 | 14:50:03 Reading windows and counting topologies...
# Total trees read:   8770
# No tree file:       0
# Filtered windows:   729
# Unique topologies:  15
# ----------------
# 09.01.2023 | 14:52:22 Counting and ranking topologies for this chromosome...
# ----------------
# 09.01.2023 | 14:52:22 Counting and ranking overall topologies...
# ----------------
# 09.01.2023 | 14:52:22 Writing output: ../data/mm10-10kb-topo-counts-new-tree-no-pahari.csv
window,chr,chr.len,start,end,filter,gcf,scf,topo.num.overall,topo.count.overall,topo.rank.overall,topo.color,topo.num.chrome,topo.count.chrome,topo.rank.chrome,topo,concat.chrome.topo.match,astral.chrome.topo.match,unparsed.tree
chr17:81280000-81290000,"chr17","94987271","81280000","81290000","PASS","73.27000000000001","68.485","1","1010","3","#006ddb","1","1010","3","(caroli,(spicilegus,(spretus,(mm10,mus-t)<1>)<2>)<3>)<4>;","FALSE","FALSE","(caroli:0.0137762,(spicilegus:0.0090930836,(spretus:0.0115641265,(mm10:0.0000010000,mus-t:0.0000010000)100:0.0123169713):0.0025840086)90:0.0137762);"
chr17:20960000-20970000,"chr17","94987271","20960000","20970000","PASS","73.27000000000001","68.485","2","2467","2","#004949","2","2467","2","(caroli,(spretus,(spicilegus,(mm10,mus-t)<1>)<2>)<3>)<4>;","FALSE","FALSE","(caroli:0.014435,(spretus:0.0075436887,(spicilegus:0.0054342772,(mm10:0.0008201695,mus-t:0.0007035529)100:0.0096846420)57:0.0026236444):0.014435);"
chr17:92960000-92970000,"chr17","94987271","92960000","92970000","PASS","73.27000000000001","68.485","2","2467","2","#004949","2","2467","2","(caroli,(spretus,(spicilegus,(mm10,mus-t)<1>)<2>)<3>)<4>;","FALSE","FALSE","(caroli:5e-07,(spretus:0.0106168005,(spicilegus:0.0109815809,(mm10:0.0000010000,mus-t:0.0017128504)52:0.0081201684)10:0.0000025198):5e-07);"
chr17:24080000-24090000,"chr17","94987271","24080000","24090000","PASS","73.27000000000001","68.485","3","4612","1","#db6d00","3","4612","1","(caroli,((mm10,mus-t)<1>,(spretus,spicilegus)<2>)<3>)<4>;","TRUE","TRUE","(caroli:0.015662,((mm10:0.0015263690,mus-t:0.0019009618)100:0.0055389174,(spretus:0.0083340625,spicilegus:0.0030988040):0.0006537632)80:0.015662);"
chr17:27290000-27300000,"chr17","94987271","27290000","27300000","PASS","73.27000000000001","68.485","1","1010","3","#006ddb","1","1010","3","(caroli,(spicilegus,(spretus,(mm10,mus-t)<1>)<2>)<3>)<4>;","FALSE","FALSE","(caroli:0.022317,(spicilegus:0.0052695749,(spretus:0.0061015066,(mm10:0.0026594260,mus-t:0.0031866853)100:0.0043293246):0.0004032682)47:0.022317);"
chr17:16020000-16030000,"chr17","94987271","16020000","16030000","PASS","73.27000000000001","68.485","3","4612","1","#db6d00","3","4612","1","(caroli,((mm10,mus-t)<1>,(spretus,spicilegus)<2>)<3>)<4>;","TRUE","TRUE","(caroli:0.0163735,((mm10:0.0031114491,mus-t:0.0048368060)100:0.0073628204,(spretus:0.0057655476,spicilegus:0.0065260939):0.0012216507)67:0.0163735);"
chr17:22780000-22790000,"chr17","94987271","22780000","22790000","PASS","73.27000000000001","68.485","1","1010","3","#006ddb","1","1010","3","(caroli,(spicilegus,(spretus,(mm10,mus-t)<1>)<2>)<3>)<4>;","FALSE","FALSE","(caroli:0.0507815,(spicilegus:0.0101299909,(spretus:0.0612030496,(mm10:0.0007155230,mus-t:0.0011684134)93:0.0077948881):0.0021926861)40:0.0507815);"
chr17:53020000-53030000,"chr17","94987271","53020000","53030000","PASS","73.27000000000001","68.485","3","4612","1","#db6d00","3","4612","1","(caroli,((mm10,mus-t)<1>,(spretus,spicilegus)<2>)<3>)<4>;","TRUE","TRUE","(caroli:0.0186384,((mm10:0.0000010000,mus-t:0.0000010000)100:0.0181996341,(spretus:0.0100073985,spicilegus:0.0055357436):0.0065482282)84:0.0186384);"
chr17:64460000-64470000,"chr17","94987271","64460000","64470000","PASS","73.27000000000001","68.485","3","4612","1","#db6d00","3","4612","1","(caroli,((mm10,mus-t)<1>,(spretus,spicilegus)<2>)<3>)<4>;","TRUE","TRUE","(caroli:0.0185099,((mm10:0.0000010004,mus-t:0.0000010004)100:0.0138445732,(spretus:0.0099657305,spicilegus:0.0074492878):0.0031657656)94:0.0185099);"
chr17:25400000-25410000,"chr17","94987271","25400000","25410000","PASS","73.27000000000001","68.485","3","4612","1","#db6d00","3","4612","1","(caroli,((mm10,mus-t)<1>,(spretus,spicilegus)<2>)<3>)<4>;","TRUE","TRUE","(caroli:0.0166186,((mm10:0.0053344780,mus-t:0.0038446817)100:0.0029601215,(spretus:0.0075170607,spicilegus:0.0056134123):0.0023819254)100:0.0166186);"
