GenomeName,ParentName,BranchLength,GenomeLength,ParentLength,Subtitutions,Transitions,Transversions,Matches,GapInsertions,GapInsertedBases,GapDeletions,GapDeletedBases,Insertions,InsertionBases,Deletions,DeletionBases,Inversions,InvertedBases,Duplications,DuplicatedBases,Transpositions,TranspositionBases,Other
Anc0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anc1,Anc0,1,63121851,19325978,3089561,508434,543710,16884235,61851,296582,919,4534,23715,26997934,114,19638,6,1514,69603,4530040,343,46011,0
Anc2,Anc1,1,75687302,63121851,2459237,526266,430556,51915883,77936,364932,31362,518744,32314,8585791,3011,331391,27,8007,36363,3078914,889,208409,5034
Anc3,Anc2,1,81909485,75687302,14649855,243393,215369,50154046,35111,186951,34060,340740,10413,1441062,5355,526326,48,15330,53001,6666455,2608,2012669,0
Anc4,Anc2,1,84235971,75687302,1929520,463668,368634,63291898,58053,278206,59427,718163,22106,7563271,8274,936824,18,4595,43147,3563942,1351,786070,0
caroli,Anc1,1,89975685,63121851,12987191,617176,509332,45945332,72598,297341,23538,208648,14747,2890312,1959,122985,45,12159,157609,16143634,2301,517715,0
mm10,Anc4,1,94987271,84235971,19947732,153354,125704,51084789,21486,108164,33019,689741,5824,3924202,4021,541443,102,16097,66470,12826010,2780,1687966,0
mus-t,Anc4,1,99543978,84235971,630622,303380,299653,78768464,43324,181936,43234,1504074,13588,9667550,3001,344106,32,17004,49148,6942719,502,449466,0
pahari,Anc0,1,28000000,19325978,4385700,334870,253419,13534527,44771,188789,5887,82095,8186,3409062,772,106960,6,186,36876,2633208,644,114783,0
spicilegus,Anc3,1,90211335,81909485,3496946,278639,177992,46798657,39989,193603,51026,715016,9095,997302,7919,640384,19,8703,38706,6804200,2274,1857148,0
spretus,Anc3,1,91163686,81909485,3675562,339510,229958,49345090,44161,211999,43246,279389,9628,911808,5154,496941,20,10389,56905,8989272,2100,1436259,0
Total,,10,798836564,648561174,67251926,3768690,3154327,467722921,499280,2308503,325718,5061144,149616,66388294,39580,4066998,323,93984,607828,72178394,15792,9116496,0
Average,,1,79883656,64856117,6725192,376869,315432,46772292,49928,230850,32571,506114,14961,6638829,3958,406699,32,9398,60782,7217839,1579,911649,0
