# PYTHON VERSION: 3.11.3
# Script call:    16_get_window_stats.py -i ../analysis/02-mus-t-windows/02-fasta/ -w 10 -o ../data/mm10-10kb-window-stats-no-pahari.tsv -s ../data/mm10-10kb-spec-counts-no-pahari.tsv -d ../analysis/02-mus-t-windows/03-fasta-no-anc-filter-no-pahari
# Runtime:        07/27/2023 22:16:12
# ----------------
# Window size (-w):	10kb
# Input directory:	/n/holylfs05/LABS/informatics/Users/gthomas/mus-t-haplotype/analysis/02-mus-t-windows/02-fasta
# Missing threshold (seq):	0.5
# Missing threshold (site):	0.5
# Gap threshold (seq):	0.5
# Gap threshold (site):	0.5
# Gap threshold (window):	0.5
# Missing+gap threshold (seq):	0.5
# Missing+gap threshold (site):	0.5
# Output file:	/n/holylfs05/LABS/informatics/Users/gthomas/mus-t-haplotype/data/mm10-10kb-window-stats-no-pahari.tsv
# Species file:	../data/mm10-10kb-spec-counts-no-pahari.tsv
# Seq outdir:	../analysis/02-mus-t-windows/03-fasta-no-anc-filter-no-pahari
# ----------------
window	scaffold	start	end	total.seqs	aln.len	uniq.seqs	ident.seqs	seqs.above.missing	seqs.all.missing	avg.seq.len.wo.missing	seqs.above.gappy	seqs.all.gappy	seqs.above.missing.gappy	seqs.all.missing.gappy	invariant.sites	informative.sites	sites.w.missing	perc.sites.w.missing	sites.high.missing	perc.sites.high.missing	sites.all.missing	sites.w.gap	perc.sites.w.gap	sites.high.gap	perc.sites.high.gap	sites.all.gap	sites.missing.gap	perc.sites.missing.gap	sites.high.missing.gap	perc.sites.high.missing.gap	sites.all.missing.gap	total.seqs.filter	aln.len.filter	uniq.seqs.filter	ident.seqs.filter	seqs.above.missing.filter	seqs.all.missing.filter	avg.seq.len.wo.missing.filter	seqs.above.gappy.filter	seqs.all.gappy.filter	seqs.above.missing.gappy.filter	seqs.all.missing.gappy.filter	invariant.sites.filter	informative.sites.filter	sites.w.missing.filter	perc.sites.w.missing.filter	sites.high.missing.filter	perc.sites.high.missing.filter	sites.all.missing.filter	sites.w.gap.filter	perc.sites.w.gap.filter	sites.high.gap.filter	perc.sites.high.gap.filter	sites.all.gap.filter	sites.missing.gap.filter	perc.sites.missing.gap.filter	sites.high.missing.gap.filter	perc.sites.high.missing.gap.filter	sites.all.missing.gap.filter	written
chr17:81280000-81290000	chr17	81280000	81290000	5	10000	5	0	0	0	3.6658	0	0	0	0	4519	83	3204	0.3204	2866	0.2866	0	1979	0.1979	1550	0.155	0	4911	0.4911	4792	0.4792	3787	5	8411	5	0	0	0	3.5960052312447983	0	0	0	0	4515	83	3177	0.37771965283557246	2844	0.3381286410652717	0	422	0.050172393294495306	1	0.00011889192723814053	0	3328	0.3956723338485317	3215	0.3822375460706218	2565	TRUE
chr17:20960000-20970000	chr17	20960000	20970000	5	10000	5	0	0	0	4.4787	0	0	1	0	2697	69	1122	0.1122	1047	0.1047	0	790	0.079	326	0.0326	0	1897	0.1897	1582	0.1582	295	5	9646	5	0	0	0	4.484034833091437	0	0	1	0	2697	69	1117	0.11579929504457806	1045	0.10833506116524984	0	470	0.048724860045614764	9	0.0009330292349160273	0	1572	0.1629691063653328	1259	0.13052042297325317	97	TRUE
chr17:92960000-92970000	chr17	92960000	92970000	5	10000	5	0	1	0	3.5702	4	0	5	0	0	3	2608	0.2608	2485	0.2485	0	6990	0.699	6866	0.6866	0	9475	0.9475	9474	0.9474	6597	5	3127	5	0	3	0	2.520946594179725	1	0	4	1	0	3	2602	0.832107451231212	2479	0.7927726255196674	0	125	0.03997441637352095	1	0.0003197953309881676	0	2604	0.8327470418931884	2603	0.8324272465622002	69	TRUE
chr17:24080000-24090000	chr17	24080000	24090000	5	10000	5	0	0	0	3.9187	0	0	1	0	4086	119	2950	0.295	2626	0.2626	0	2395	0.2395	1897	0.1897	0	4787	0.4787	4682	0.4682	1417	5	8056	5	0	0	0	3.8819513406156902	0	0	0	0	4082	119	2844	0.35302879841112217	2598	0.3224925521350546	0	488	0.0605759682224429	4	0.0004965243296921549	0	2855	0.35439424031777556	2752	0.3416087388282026	570	TRUE
chr17:27290000-27300000	chr17	27290000	27300000	5	10000	5	0	0	0	3.9344	0	0	0	0	4921	60	2496	0.2496	2466	0.2466	0	1970	0.197	1711	0.1711	0	4218	0.4218	4180	0.418	989	5	8257	5	0	0	0	3.916918977836987	0	0	0	0	4914	56	2443	0.2958701707642001	2440	0.29550684267893906	0	261	0.031609543417706186	8	0.0009688748940293085	0	2487	0.30119898268136125	2450	0.2967179362964757	363	TRUE
chr17:16020000-16030000	chr17	16020000	16030000	5	10000	5	0	0	0	3.7548	0	0	1	0	4384	88	2906	0.2906	2844	0.2844	0	2996	0.2996	1905	0.1905	0	4820	0.482	4809	0.4809	3462	5	8064	5	0	0	0	3.6918402777777777	0	0	0	0	4384	88	2880	0.35714285714285715	2821	0.3498263888888889	0	1072	0.13293650793650794	5	0.0006200396825396825	0	2892	0.3586309523809524	2883	0.35751488095238093	1647	TRUE
chr17:22780000-22790000	chr17	22780000	22790000	5	10000	5	0	1	0	4.3877	3	0	4	0	1217	1022	597	0.0597	306	0.0306	0	5596	0.5596	4915	0.4915	0	5830	0.583	5412	0.5412	4597	5	5061	5	0	0	0	4.709148389646315	0	0	0	0	1217	1022	481	0.09504050582888757	298	0.05888164394388461	0	677	0.1337680300335902	2	0.00039517881841533294	0	902	0.17822564710531516	486	0.09602845287492591	123	TRUE
chr17:53020000-53030000	chr17	53020000	53030000	5	10000	5	0	1	0	3.7725	4	0	5	0	816	69	1717	0.1717	1644	0.1644	0	7225	0.7225	6645	0.6645	0	8465	0.8465	8430	0.843	6654	5	3310	5	0	2	0	3.254682779456193	0	0	3	0	816	65	1673	0.5054380664652568	1620	0.48942598187311176	0	576	0.17401812688821752	7	0.0021148036253776435	0	1796	0.5425981873111783	1761	0.5320241691842901	1096	TRUE
chr17:64460000-64470000	chr17	64460000	64470000	5	10000	5	0	1	0	4.2144	1	0	4	0	3732	69	905	0.0905	851	0.0851	0	4963	0.4963	4888	0.4888	0	5801	0.5801	5790	0.579	290	5	5085	5	0	0	0	4.40039331366765	0	0	0	0	3730	69	891	0.1752212389380531	839	0.16499508357915438	0	78	0.015339233038348082	7	0.0013765978367748278	0	906	0.17817109144542773	895	0.176007866273353	244	TRUE
chr17:25400000-25410000	chr17	25400000	25410000	5	10000	5	0	0	0	4.9107	0	0	0	0	8696	74	164	0.0164	79	0.0079	0	322	0.0322	304	0.0304	0	474	0.0474	403	0.0403	35	5	9688	5	0	0	0	4.94023534269199	0	0	0	0	8689	74	158	0.016308835672997523	75	0.007741535920726672	0	24	0.002477291494632535	8	0.0008257638315441783	0	172	0.017753922378199834	101	0.010425268373245252	9	TRUE
