# PYTHON VERSION: 3.11.3
# Script call:    16_get_window_stats.py -i ../02-fasta/ -w 10 -o ../data/mm10-10kb-window-stats.tsv -s ../data/mm10-10kb-spec-counts.tsv -d ../03-fasta-no-anc-filter --overwrite
# Runtime:        07/27/2023 11:49:59
# ----------------
# Window size (-w):	10kb
# Input directory:	/n/holylfs05/LABS/informatics/Users/gthomas/mus-t-haplotype/mus-t-windows/02-fasta
# Missing threshold (seq):	0.5
# Missing threshold (site):	0.5
# Gap threshold (seq):	0.5
# Gap threshold (site):	0.5
# Gap threshold (window):	0.5
# Missing+gap threshold (seq):	0.5
# Missing+gap threshold (site):	0.5
# Output file:	/n/holylfs05/LABS/informatics/Users/gthomas/mus-t-haplotype/mus-t-windows/data/mm10-10kb-window-stats.tsv
# Species file:	../data/mm10-10kb-spec-counts.tsv
# Seq outdir:	../03-fasta-no-anc-filter
# ----------------
window	scaffold	start	end	total.seqs	aln.len	uniq.seqs	ident.seqs	seqs.above.missing	seqs.all.missing	avg.seq.len.wo.missing	seqs.above.gappy	seqs.all.gappy	seqs.above.missing.gappy	seqs.all.missing.gappy	invariant.sites	informative.sites	sites.w.missing	perc.sites.w.missing	sites.high.missing	perc.sites.high.missing	sites.all.missing	sites.w.gap	perc.sites.w.gap	sites.high.gap	perc.sites.high.gap	sites.all.gap	sites.missing.gap	perc.sites.missing.gap	sites.high.missing.gap	perc.sites.high.missing.gap	sites.all.missing.gap	total.seqs.filter	aln.len.filter	uniq.seqs.filter	ident.seqs.filter	seqs.above.missing.filter	seqs.all.missing.filter	avg.seq.len.wo.missing.filter	seqs.above.gappy.filter	seqs.all.gappy.filter	seqs.above.missing.gappy.filter	seqs.all.missing.gappy.filter	invariant.sites.filter	informative.sites.filter	sites.w.missing.filter	perc.sites.w.missing.filter	sites.high.missing.filter	perc.sites.high.missing.filter	sites.all.missing.filter	sites.w.gap.filter	perc.sites.w.gap.filter	sites.high.gap.filter	perc.sites.high.gap.filter	sites.all.gap.filter	sites.missing.gap.filter	perc.sites.missing.gap.filter	sites.high.missing.gap.filter	perc.sites.high.missing.gap.filter	sites.all.missing.gap.filter	written
chr17:81280000-81290000	chr17	81280000	81290000	5	10000	5	0	0	0	3.6658	0	0	0	0	4519	83	3204	0.3204	2866	0.2866	0	1979	0.1979	1550	0.155	0	4911	0.4911	4792	0.4792	3787	5	8411	5	0	0	0	3.5960052312447983	0	0	0	0	4515	83	3177	0.37771965283557246	2844	0.3381286410652717	0	422	0.050172393294495306	1	0.00011889192723814053	0	3328	0.3956723338485317	3215	0.3822375460706218	2565	TRUE
chr17:20960000-20970000	chr17	20960000	20970000	6	10000	6	0	0	0	5.4646	0	0	1	0	2440	127	1135	0.1135	116	0.0116	0	2038	0.2038	320	0.032	0	2206	0.2206	1426	0.1426	295	6	9653	6	0	0	0	5.470009323526365	0	0	1	0	2440	126	1130	0.11706205324769502	116	0.012016989536931524	0	1717	0.17787216409406403	9	0.0009323526364860666	0	1883	0.19506889050036258	1112	0.11519734797472288	97	TRUE
chr17:92960000-92970000	chr17	92960000	92970000	5	10000	5	0	1	0	3.5702	4	0	5	0	0	3	2608	0.2608	2485	0.2485	0	6990	0.699	6866	0.6866	0	9475	0.9475	9474	0.9474	6597	5	3127	5	0	3	0	2.520946594179725	1	0	4	1	0	3	2602	0.832107451231212	2479	0.7927726255196674	0	125	0.03997441637352095	1	0.0003197953309881676	0	2604	0.8327470418931884	2603	0.8324272465622002	69	TRUE
chr17:24080000-24090000	chr17	24080000	24090000	6	10000	6	0	0	0	4.8484	0	0	2	0	3745	219	2975	0.2975	627	0.0627	0	4354	0.4354	1897	0.1897	0	5312	0.5312	4663	0.4663	1417	6	8056	6	0	0	0	4.795183714001986	0	0	0	0	3745	217	2869	0.3561320754716981	619	0.07683714001986097	0	2439	0.30275571002979146	4	0.0004965243296921549	0	3378	0.41931479642502484	2735	0.3394985104270109	570	TRUE
chr17:27290000-27300000	chr17	27290000	27300000	6	10000	6	0	0	0	4.8177	0	0	1	0	3995	138	2734	0.2734	1379	0.1379	0	3068	0.3068	1696	0.1696	0	4578	0.4578	4178	0.4178	974	6	8272	6	0	0	0	4.77502417794971	0	0	0	0	3993	134	2696	0.32591876208897486	1365	0.16501450676982593	0	1360	0.1644100580270793	8	0.0009671179883945841	0	2862	0.3459864603481625	2463	0.2977514506769826	363	TRUE
chr17:16020000-16030000	chr17	16020000	16030000	6	10000	6	0	0	0	4.6248	0	0	2	0	3894	150	2991	0.2991	1755	0.1755	0	3282	0.3282	1905	0.1905	0	4937	0.4937	4801	0.4801	3324	6	8064	6	0	0	0	4.531374007936508	0	0	0	0	3894	148	2961	0.3671875	1753	0.2173859126984127	0	1354	0.16790674603174602	5	0.0006200396825396825	0	3003	0.3723958333333333	2875	0.35652281746031744	1509	TRUE
chr17:22780000-22790000	chr17	22780000	22790000	6	10000	6	0	1	0	5.3655	4	0	5	0	1000	1475	597	0.0597	119	0.0119	0	6328	0.6328	4813	0.4813	0	6524	0.6524	5405	0.5405	4589	6	5159	6	0	0	0	5.63423144020159	0	0	0	0	1000	1475	579	0.11223105252955999	114	0.022097305679395232	0	1497	0.29017251405311106	2	0.0003876720294630742	0	1686	0.3268075208373716	578	0.11203721651482845	215	TRUE
chr17:53020000-53030000	chr17	53020000	53030000	6	10000	6	0	1	0	4.7523	5	0	6	0	0	69	1726	0.1726	674	0.0674	0	8697	0.8697	6641	0.6641	0	9021	0.9021	8429	0.8429	6562	6	3318	6	0	2	0	4.191380349608198	1	0	4	0	0	65	1690	0.5093429776974081	667	0.20102471368294153	0	2023	0.609704641350211	7	0.002109704641350211	0	2345	0.7067510548523207	1769	0.5331525015069319	1010	TRUE
chr17:64460000-64470000	chr17	64460000	64470000	5	10000	5	0	1	0	4.2144	1	0	4	0	3732	69	905	0.0905	851	0.0851	0	4963	0.4963	4888	0.4888	0	5801	0.5801	5790	0.579	290	5	5085	5	0	0	0	4.40039331366765	0	0	0	0	3730	69	891	0.1752212389380531	839	0.16499508357915438	0	78	0.015339233038348082	7	0.0013765978367748278	0	906	0.17817109144542773	895	0.176007866273353	244	TRUE
chr17:25400000-25410000	chr17	25400000	25410000	6	10000	6	0	0	0	5.9068	0	0	0	0	7885	185	180	0.018	68	0.0068	0	377	0.0377	53	0.0053	0	531	0.0531	392	0.0392	35	6	9936	6	0	0	0	5.913043478260869	0	0	0	0	7880	185	174	0.017512077294685992	64	0.00644122383252818	0	325	0.032709339774557165	9	0.0009057971014492754	0	475	0.047805958132045086	338	0.03401771336553945	9	TRUE
